CustomerID,Recency,Frequency,Monetary,Avg_Order_Value,Unique_Products,Customer_Lifetime,Country,Cluster,R_Score,F_Score,M_Score,RFM_Score,CLV_Estimate
12347.0,2,7,3174.62,18.896547619047617,99,365,Iceland,1,5,5,5,555,16093.55972222222
12348.0,75,4,601.64,31.665263157894735,17,282,Finland,1,2,4,3,243,608.3063711911357
12349.0,19,1,1145.35,17.353787878787877,66,0,Italy,0,4,1,4,414,316.70662878787874
12350.0,310,1,334.4,19.670588235294115,17,0,Norway,0,1,1,2,112,23.08606014753168
12352.0,36,7,1505.74,18.82175,58,260,Norway,1,3,5,5,355,1299.718141891892
12353.0,204,1,89.0,22.25,4,0,Bahrain,0,1,1,1,111,39.61585365853659
12354.0,232,1,971.24,17.34357142857143,56,0,Spain,0,1,1,4,114,27.16911404046597
12355.0,214,1,264.4,24.036363636363635,11,0,Bahrain,0,1,1,2,112,40.80591966173361
12356.0,23,3,708.93,21.48272727272727,33,302,Portugal,1,4,3,4,434,980.1494318181817
12357.0,33,1,1567.07,20.894266666666667,75,0,Switzerland,0,4,1,5,415,224.30609803921567
12358.0,2,2,142.66,15.851111111111111,8,149,Austria,0,5,2,1,521,3857.103703703704
12359.0,58,4,4302.08,18.86877192982456,204,274,Cyprus,1,3,4,5,345,466.92215283972644
12360.0,52,3,1915.36,15.829421487603305,102,148,Austria,1,3,3,5,335,327.0418213004834
12361.0,287,1,189.9,18.990000000000002,10,0,Belgium,0,1,1,2,112,24.067187500000003
12362.0,3,10,4600.53,18.112322834645667,198,292,Belgium,1,5,5,5,555,16527.49458661417
12363.0,110,2,413.28000000000003,19.68,21,132,Unspecified,0,2,2,3,223,129.42702702702704
12364.0,8,4,1203.3,14.497590361445782,70,104,Belgium,0,5,4,4,544,2351.8313253012047
12365.0,291,1,320.69,15.27095238095238,21,0,Cyprus,0,1,1,2,112,19.088690476190475
12367.0,4,1,168.9,15.354545454545455,11,0,Denmark,0,5,1,1,511,1120.8818181818183
12370.0,51,4,2276.03,15.378581081081082,126,309,Cyprus,1,3,4,5,345,431.7832380457381
12371.0,60,1,1237.26,21.706315789473685,57,0,Switzerland,0,3,1,4,314,129.88205349439173
12372.0,72,3,836.9399999999999,19.021363636363635,34,224,Denmark,1,2,3,4,234,285.32045454545454
12373.0,311,1,364.6,26.042857142857144,14,0,Austria,0,1,1,2,112,30.466804029304033
12374.0,25,1,570.91,18.416451612903224,31,0,Austria,0,4,1,3,413,258.53864764267985
12375.0,11,2,395.1,24.69375,14,87,Finland,0,5,2,3,523,1502.2031250000002
12377.0,315,2,1213.02,17.328857142857142,65,39,Switzerland,0,1,2,4,124,40.03185352622061
12378.0,130,1,3729.68,17.42841121495327,214,0,Switzerland,0,2,1,5,215,48.560077049297284
12379.0,82,2,731.04,19.237894736842104,38,88,Belgium,0,2,2,4,224,169.2007609384908
12380.0,22,4,1765.47,18.78159574468085,73,164,Belgium,1,4,4,5,445,1192.223034227567
12381.0,5,5,1457.31,17.34892857142857,70,115,Norway,1,5,4,4,544,5276.965773809524
12383.0,185,5,1413.22,15.52989010989011,81,167,Belgium,0,1,4,4,144,152.3766099491906
12384.0,29,2,425.27000000000004,17.010800000000003,25,92,Switzerland,0,4,2,3,423,413.9294666666667
12386.0,367,1,144.3,24.05,6,0,Australia,0,1,1,1,111,23.853940217391305
12388.0,16,6,1782.3400000000001,21.47397590361446,52,311,Australia,1,4,5,5,455,2766.3533664068036
12390.0,80,1,504.84000000000003,16.28516129032258,31,0,Belgium,0,2,1,3,213,73.3837514934289
12391.0,22,1,460.89,4.6089,92,0,Cyprus,0,4,1,3,413,73.14123913043478
12393.0,72,4,1193.5,20.57758620689655,45,260,Australia,1,2,4,4,244,411.55172413793105
12394.0,64,2,420.91999999999996,19.13272727272727,22,153,Belgium,0,3,2,3,323,214.8752447552447
12395.0,19,12,2488.53,16.928775510204083,88,351,Belgium,1,4,5,5,455,3707.4018367346944
12397.0,36,2,2036.4,16.691803278688525,108,99,Belgium,1,3,2,5,325,329.32476739034115
12398.0,46,1,1311.76,15.997073170731706,82,0,Switzerland,0,3,1,4,314,124.23258951738453
12399.0,119,4,944.4,16.864285714285714,45,142,Belgium,0,2,4,4,244,205.18214285714285
12401.0,303,1,84.3,16.86,5,0,Belgium,0,1,1,1,111,20.243092105263155
12402.0,323,1,225.6,20.509090909090908,11,0,Belgium,0,1,1,2,112,23.1043771043771
12403.0,50,1,45.9,22.95,2,0,Denmark,0,3,1,1,311,164.25
12405.0,149,1,906.49,20.602045454545454,44,0,Finland,0,2,1,4,214,50.13164393939393
12406.0,22,2,1833.99,22.365731707317074,75,161,Denmark,1,4,2,5,425,709.8688759278898
12407.0,50,5,1292.68,18.206760563380282,56,214,Belgium,1,3,4,4,344,651.5164319248827
12408.0,33,5,1366.29,16.662073170731706,70,227,Belgium,1,4,4,4,444,894.3612804878047
12409.0,79,3,389.19,29.93769230769231,13,103,Switzerland,0,2,3,3,233,409.77216346153847
12410.0,309,2,533.33,21.3332,25,0,Switzerland,0,1,2,3,123,50.23624516129033
12412.0,75,3,932.34,16.951636363636364,40,94,Denmark,0,2,3,4,234,244.23739234449758
12413.0,67,3,656.4,18.233333333333334,28,270,France,1,3,3,3,333,293.6102941176471
12414.0,217,3,372.81,24.854,13,93,Austria,0,1,3,3,133,124.84004587155964
12415.0,25,12,1614.37,15.087570093457943,99,312,Australia,1,4,5,5,455,2541.675269590223
