StockCode,Description,Total_Quantity,Total_Revenue,Total_Orders,Unique_Customers,Avg_Price
85123A,WHITE HANGING HEART T-LIGHT HOLDER,9170,27031.260000000002,1544,747,2.961217988757027
85099B,JUMBO BAG RED RETROSPOT,12100,24784.14,1309,579,2.0570437405731523
84879,ASSORTED COLOUR BIRD ORNAMENT,13619,23016.11,1125,626,1.69
47566,PARTY BUNTING,4589,22670.190000000002,1082,614,4.942793448589627
22423,REGENCY CAKESTAND 3 TIER,1778,22655.26,1040,689,12.811321292775666
20725,LUNCH BAG RED RETROSPOT,9797,16229.45,1180,514,1.670049710024855
22457,NATURAL SLATE HEART CHALKBOARD ,5308,15750.360000000002,897,567,2.9803296703296707
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3133,15544.230000000001,1044,608,4.981012298959319
POST,POSTAGE,795,14962.27,554,217,19.542003610108303
23298,SPOTTY BUNTING,2944,14572.800000000001,820,523,4.95
22960,JAM MAKING SET WITH JARS,3127,13371.63,673,487,4.301114369501467
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4487,13265.050000000001,776,525,2.9639557739557745
22386,JUMBO BAG PINK POLKADOT,6315,12917.09,759,348,2.051439588688946
22961,JAM MAKING SET PRINTED,8630,12599.419999999998,804,515,1.4747102342786684
23202,JUMBO BAG VINTAGE LEAF,5936,12330.03,718,360,2.09467032967033
20727,LUNCH BAG  BLACK SKULL.,7373,12153.45,995,448,1.649236641221374
23245,SET OF 3 REGENCY CAKE TINS,2430,12092.74,632,437,5.013775351014041
22469,HEART OF WICKER SMALL,7237,11935.659999999998,869,543,1.6544058295964126
23201,JUMBO BAG ALPHABET,5676,11721.08,683,380,2.0762662807525327
20728,LUNCH BAG CARS BLUE,7049,11645.73,915,466,1.6632196162046908
82494L,WOODEN FRAME ANTIQUE WHITE ,3908,11521.770000000002,740,372,2.9660962566844926
22138,BAKING SET 9 PIECE RETROSPOT ,2294,11411.140000000001,759,553,4.9784455958549225
22727,ALARM CLOCK BAKELIKE RED ,3027,11401.86,772,371,3.7771284634760707
22382,LUNCH BAG SPACEBOY DESIGN ,6882,11367.7,952,480,1.660216271884655
22139,RETROSPOT TEA SET CERAMIC 11 PC ,2265,11264.310000000001,720,457,4.982
23206,LUNCH BAG APPLE DESIGN,6815,11240.75,807,386,1.649760765550239
82482,WOODEN PICTURE FRAME WHITE FINISH,4223,11237.11,798,393,2.691248454882571
22384,LUNCH BAG PINK POLKADOT,6724,11107.0,885,434,1.6581668496158066
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,5411,11038.27,729,359,2.054299191374663
21931,JUMBO STORAGE BAG SUKI,5382,11000.130000000001,704,318,2.051851332398317
22699,ROSES REGENCY TEACUP AND SAUCER ,3704,10961.000000000002,660,386,2.986573116691285
23355,HOT WATER BOTTLE KEEP CALM,2214,10952.1,594,413,4.948697068403908
21754,HOME BUILDING BLOCK WORD,1784,10751.26,632,342,6.047634408602151
22077,6 RIBBONS RUSTIC CHARM,6096,10690.619999999999,683,403,1.7737853107344632
22470,HEART OF WICKER LARGE,3598,10651.460000000001,744,464,2.9718372703412075
23199,JUMBO BAG APPLES,5122,10638.76,634,319,2.08892523364486
22383,LUNCH BAG SUKI DESIGN ,6371,10524.55,852,387,1.6584067796610167
23203,JUMBO BAG VINTAGE DOILY ,5046,10489.880000000001,565,337,2.079498269896194
22726,ALARM CLOCK BAKELIKE GREEN,2755,10416.69,687,312,3.7968510638297874
20726,LUNCH BAG WOODLAND,6115,10107.11,785,362,1.6653655514250307
22178,VICTORIAN GLASS HANGING T-LIGHT,7198,10007.93,638,364,1.440432098765432
22666,RECIPE BOX PANTRY YELLOW DESIGN,3298,9808.420000000002,763,451,2.9886118251928027
22697,GREEN REGENCY TEACUP AND SAUCER,3278,9735.140000000001,600,353,2.9973482428115017
21175,GIN + TONIC DIET METAL SIGN,3883,9652.98,586,316,2.4832323232323232
22624,IVORY KITCHEN SCALES,1116,9578.09,574,362,8.618455008488965
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3212,9505.880000000001,696,337,2.9812290502793295
22969,HOMEMADE JAM SCENTED CANDLES,6548,9494.199999999999,485,410,1.4567489711934156
23344,JUMBO BAG 50'S CHRISTMAS ,4572,9493.56,523,367,2.0854545454545454
85099F,JUMBO BAG STRAWBERRY,4517,9198.2,559,291,2.047574692442882
21212,PACK OF 72 RETROSPOT CAKE CASES,16653,9178.93,956,609,0.5573467336683418
21181,PLEASE ONE PERSON METAL SIGN,4323,9072.300000000001,576,338,2.099156829679595
22993,SET OF 4 PANTRY JELLY MOULDS,7196,9028.69,808,421,1.266754491017964
84978,HANGING HEART JAR T-LIGHT HOLDER,7568,9020.380000000001,536,295,1.238091743119266
85099C,JUMBO  BAG BAROQUE BLACK WHITE,4426,9020.31,570,279,2.0431896551724136
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2987,8891.170000000002,563,404,2.9991349480968856
22112,CHOCOLATE HOT WATER BOTTLE,1789,8855.09,561,339,4.9577217391304345
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,2991,8831.970000000001,515,267,2.966105860113422
22629,SPACEBOY LUNCH BOX ,4539,8814.39,593,308,1.957783251231527
21755,LOVE BUILDING BLOCK WORD,1424,8571.710000000001,520,321,6.032954128440367
22111,SCOTTIE DOG HOT WATER BOTTLE,1718,8499.900000000001,567,391,4.948793103448276
85066,CREAM SWEETHEART MINI CHEST,665,8490.96,365,262,12.782734584450402
21731,RED TOADSTOOL LED NIGHT LIGHT,5095,8446.109999999999,461,256,1.6742194092827003
22722,SET OF 6 SPICE TINS PANTRY DESIGN,2108,8314.6,592,371,3.94836867862969
21929,JUMBO BAG PINK VINTAGE PAISLEY,4052,8274.05,546,290,2.070309090909091
23284,DOORMAT KEEP CALM AND COME IN,997,8152.41,455,304,8.216434782608696
22835,HOT WATER BOTTLE I AM SO POORLY,1669,8102.2300000000005,450,295,4.894978354978355
23207,LUNCH BAG ALPHABET DESIGN,4874,8047.0599999999995,619,368,1.6577138413685846
82484,WOOD BLACK BOARD ANT WHITE FINISH,1047,8028.51,449,251,7.724577777777777
21733,RED HANGING HEART T-LIGHT HOLDER,2686,7957.780000000001,595,351,2.9871241830065363
23203,JUMBO BAG DOILEY PATTERNS,3837,7921.16,409,282,2.067094430992736
23301,GARDENERS KNEELING PAD KEEP CALM ,4735,7911.2699999999995,706,392,1.6657103064066852
22698,PINK REGENCY TEACUP AND SAUCER,2656,7860.440000000001,480,292,2.9876331360946744
22630,DOLLY GIRL LUNCH BOX,3912,7624.24,536,278,1.9758273381294964
22728,ALARM CLOCK BAKELIKE PINK,2017,7604.56,544,277,3.797047101449275
22090,PAPER BUNTING RETROSPOT,2549,7522.390000000001,469,299,2.9559789473684215
23084,RABBIT NIGHT LIGHT,3599,7507.650000000001,536,387,2.0899652777777775
22554,PLASTERS IN TIN WOODLAND ANIMALS,4499,7426.629999999999,558,344,1.6556944444444444
82483,WOOD 2 DRAWER CABINET WHITE FINISH,1101,7405.87,438,222,6.853466666666667
22865,HAND WARMER OWL DESIGN,3495,7361.830000000001,499,345,2.127326923076923
23208,LUNCH BAG VINTAGE LEAF DESIGN,4455,7341.95,570,294,1.6493197278911564
22558,CLOTHES PEGS RETROSPOT PACK 24 ,4596,7296.279999999999,579,344,1.6178061224489795
22551,PLASTERS IN TIN SPACEBOY,4352,7205.399999999999,546,329,1.6646167557932263
22556,PLASTERS IN TIN CIRCUS PARADE ,4344,7174.159999999999,500,302,1.662862745098039
84946,ANTIQUE SILVER T-LIGHT GLASS,5700,7154.18,441,312,1.263109619686801
23209,LUNCH BAG VINTAGE DOILY ,4332,7152.76,505,306,1.6547600767754318
20712,JUMBO BAG WOODLAND ANIMALS,3479,7100.46,446,237,2.0599113082039913
21915,RED  HARMONICA IN BOX ,5453,6897.91,496,329,1.2724302788844621
22621,TRADITIONAL KNITTING NANCY,4200,6886.919999999999,481,353,1.6500811359026368
21485,RETROSPOT HEART HOT WATER BOTTLE,1382,6873.38,465,338,5.0079166666666675
20685,DOORMAT RED RETROSPOT,847,6816.53,428,269,8.068515081206497
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,23263,6781.289999999999,426,291,0.2987587822014051
22662,LUNCH BAG DOLLY GIRL DESIGN,4105,6780.69,573,302,1.6626315789473685
22113,GREY HEART HOT WATER BOTTLE,1680,6762.61,454,314,4.0534647302904565
23200,JUMBO BAG PEARS,3212,6680.06,427,244,2.092073732718894
21166,COOK WITH WINE METAL SIGN ,3229,6653.01,515,270,2.0572190476190477
22427,ENAMEL FLOWER JUG CREAM,1116,6645.88,394,294,5.964235588972431
22385,JUMBO BAG SPACEBOY DESIGN,3226,6588.32,437,235,2.0595973154362417
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,2236,6588.240000000001,408,219,2.9548456057007124
48194,DOORMAT HEARTS,809,6567.25,404,251,8.15436274509804
22625,RED KITCHEN SCALES,772,6558.23,401,276,8.511593137254902
48187,DOORMAT NEW ENGLAND,813,6534.45,433,278,8.043835616438356
23356,LOVE HOT WATER BOTTLE,1099,6533.05,392,290,5.9475903614457835
22197,POPCORN HOLDER,7596,6514.58,527,270,0.8631884057971014
22114,HOT WATER BOTTLE TEA AND SYMPATHY,1536,6478.32,434,295,4.2585
22083,PAPER CHAIN KIT RETROSPOT,2187,6477.210000000001,388,270,2.9935805626598464
23322,LARGE WHITE HEART OF WICKER,2194,6467.200000000001,496,346,2.9583820662768034
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,3107,6407.47,403,217,2.0876225490196076
23209,LUNCH BAG DOILEY PATTERN ,3882,6401.3,427,276,1.6495391705069125
22191,IVORY DINER WALL CLOCK,749,6363.1,365,228,8.497733333333333
48138,DOORMAT UNION FLAG,788,6344.18,382,260,8.074883116883116
22766,PHOTO FRAME CORNICE,2144,6330.4800000000005,436,271,2.9626785714285715
85152,HAND OVER THE CHOCOLATE   SIGN ,2956,6262.610000000001,509,255,2.12631067961165
22467,GUMBALL COAT RACK,2464,6249.65,457,247,2.5681144067796606
21790,VINTAGE SNAP CARDS,7238,6221.719999999999,674,437,0.8613372093023256
21930,JUMBO STORAGE BAG SKULLS,3026,6178.59,440,211,2.0453333333333332
22193,RED DINER WALL CLOCK,724,6174.99,369,195,8.563279569892472
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1250,6174.54,347,259,4.940769230769231
23076,ICE CREAM SUNDAE LIP GLOSS,4872,6090.0,204,170,1.25
23173,REGENCY TEAPOT ROSES ,603,6019.87,275,208,10.020992907801418
79321,CHILLI LIGHTS,1061,5997.4,311,154,5.762911392405063
22189,CREAM HEART CARD HOLDER,1523,5990.570000000001,398,259,3.957925925925926
21136,PAINTED METAL PEARS ASSORTED,3536,5987.28,337,251,1.694121037463977
22730,ALARM CLOCK BAKELIKE IVORY,1583,5934.92,433,232,3.756764705882353
23077,DOUGHNUT LIP GLOSS ,4734,5917.5,238,183,1.25
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,4732,5915.0,199,149,1.25
21914,BLUE HARMONICA IN BOX ,4655,5908.29,478,296,1.2822336065573772
22867,HAND WARMER BIRD DESIGN,2797,5896.030000000001,416,310,2.123604651162791
23300,GARDENERS KNEELING PAD CUP OF TEA ,3533,5895.929999999999,601,340,1.6710081300813007
23343,JUMBO BAG VINTAGE CHRISTMAS ,2834,5887.22,358,276,2.0887533875338753
23321,SMALL WHITE HEART OF WICKER,3563,5869.23,568,374,1.650067681895093
22966,GINGERBREAD MAN COOKIE CUTTER,4697,5867.39,529,379,1.266654478976234
21843,RED RETROSPOT CAKE STAND,536,5864.2,326,230,10.94390243902439
21232,STRAWBERRY CERAMIC TRINKET BOX,4676,5848.12,459,280,1.2592933618843685
22492,MINI PAINT SET VINTAGE ,8950,5809.9400000000005,254,187,0.6638582677165354
20972,PINK CREAM FELT CRAFT TRINKET BOX ,4593,5804.31,506,299,1.2798272552783108
84375,SET OF 20 KIDS COOKIE CUTTERS,2706,5753.97,383,270,2.154886075949367
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8823,5748.1900000000005,481,300,0.6556352459016394
20724,RED RETROSPOT CHARLOTTE BAG,6729,5711.85,687,316,0.857997138769671
22741,FUNKY DIVA PEN,6696,5698.62,143,102,0.8554545454545455
22555,PLASTERS IN TIN STRONGMAN,3419,5642.989999999999,424,286,1.6537614678899082
22487,WHITE WOOD GARDEN PLANT LADDER,588,5622.8099999999995,366,277,9.815286103542233
82486,WOOD S/3 CABINET ANT WHITE FINISH,654,5620.299999999999,300,163,8.648360655737704
20713,JUMBO BAG OWLS,2766,5612.22,354,196,2.057802197802198
22866,HAND WARMER SCOTTY DOG DESIGN,2662,5590.200000000001,414,304,2.1
22561,WOODEN SCHOOL COLOURING SET,3361,5548.169999999999,370,279,1.6623237597911227
22617,BAKING SET SPACEBOY DESIGN,1109,5546.330000000001,384,283,5.050206718346254
21621,VINTAGE UNION JACK BUNTING,650,5532.08,287,211,8.524081632653061
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,6501,5525.15,674,412,0.8497122302158273
21977,PACK OF 60 PINK PAISLEY CAKE CASES,9984,5495.900000000001,624,396,0.560125
22847,BREAD BIN DINER STYLE IVORY,322,5490.58,251,175,17.080199203187252
23103,JINGLE BELL HEART DECORATION,3327,5475.15,300,219,1.6481132075471698
22568,FELTCRAFT CUSHION OWL,1425,5380.24,367,229,3.818111702127659
23320,GIANT 50'S CHRISTMAS CRACKER,2035,5379.31,295,248,2.6595424836601307
22192,BLUE DINER WALL CLOCK,631,5371.63,313,166,8.525974440894569
