Date,Hour,Revenue,Orders,Customers
2022-12-01,8,670.63,6,3
2022-12-01,9,1971.1200000000001,11,8
2022-12-01,10,1575.31,9,7
2022-12-01,11,3211.66,10,9
2022-12-01,12,3405.2400000000002,20,18
2022-12-01,13,3574.83,12,12
2022-12-01,14,1980.1200000000001,8,7
2022-12-01,15,2207.65,14,11
2022-12-01,16,1534.18,10,9
2022-12-01,17,348.59000000000003,4,4
2022-12-02,7,104.2,2,2
2022-12-02,8,798.03,6,3
2022-12-02,9,1255.91,8,5
2022-12-02,10,3133.67,13,9
2022-12-02,11,2846.27,9,8
2022-12-02,12,2689.1,16,13
2022-12-02,13,2109.58,12,11
2022-12-02,14,2466.13,11,7
2022-12-02,15,3470.73,16,11
2022-12-02,16,1434.15,9,9
2022-12-02,17,1090.18,6,6
2022-12-02,18,1668.24,9,8
2022-12-02,19,540.65,2,2
2022-12-03,9,386.42,3,3
2022-12-03,10,1504.95,6,6
2022-12-03,11,425.68,4,4
2022-12-03,12,2636.79,9,8
2022-12-03,13,1348.28,4,4
2022-12-03,14,2738.86,10,9
2022-12-03,15,1028.99,6,5
2022-12-03,16,698.35,4,3
2022-12-03,17,1264.91,3,2
2022-12-05,10,1310.08,7,7
2022-12-05,11,3621.3,14,12
2022-12-05,12,4637.6,19,15
2022-12-05,13,4410.99,15,15
2022-12-05,14,2390.03,8,7
2022-12-05,15,2846.66,15,14
2022-12-05,16,2112.98,4,4
2022-12-06,8,415.68,4,2
2022-12-06,9,628.0500000000001,3,3
2022-12-06,10,1631.9,11,10
2022-12-06,11,2445.2200000000003,12,12
2022-12-06,12,5099.96,19,18
2022-12-06,13,3350.58,14,13
2022-12-06,14,1847.68,10,8
2022-12-06,15,2277.75,11,11
2022-12-06,16,235.02,2,2
2022-12-06,17,658.92,2,2
2022-12-07,9,1151.38,6,6
2022-12-07,10,2075.1,8,8
2022-12-07,11,1319.98,6,6
2022-12-07,12,1396.69,8,8
2022-12-07,13,2875.32,13,12
2022-12-07,14,1712.28,7,7
2022-12-07,15,2199.36,11,10
2022-12-07,16,111.15,1,1
2022-12-07,17,38.1,1,1
2022-12-08,8,213.05,2,2
2022-12-08,9,1313.04,7,7
2022-12-08,10,3153.99,14,13
2022-12-08,11,1232.89,10,7
2022-12-08,12,3800.16,16,16
2022-12-08,13,3852.28,17,16
2022-12-08,14,2083.36,8,8
2022-12-08,15,3015.23,12,12
