InvoiceDate,CustomerID,TotalAmount,Quantity,InvoiceNo,Country,Cluster
2022-12-01 08:26:00,17850.0,139.12,40,1,United Kingdom,0
2022-12-01 08:28:00,17850.0,22.200000000000003,12,1,United Kingdom,0
2022-12-01 08:34:00,13047.0,294.7,66,2,United Kingdom,1
2022-12-01 08:35:00,13047.0,17.85,3,1,United Kingdom,1
2022-12-01 08:45:00,12583.0,196.76,236,1,France,1
2022-12-01 09:01:00,17850.0,22.200000000000003,12,1,United Kingdom,0
2022-12-01 09:02:00,17850.0,259.86,88,1,United Kingdom,0
2022-12-01 09:32:00,17850.0,259.86,88,1,United Kingdom,0
2022-12-01 09:34:00,17850.0,22.200000000000003,12,1,United Kingdom,0
2022-12-01 09:37:00,14688.0,289.58,274,1,United Kingdom,1
2022-12-01 09:41:00,15311.0,284.73,165,1,United Kingdom,1
2022-12-01 09:41:00,17809.0,34.8,24,1,United Kingdom,1
2022-12-01 09:45:00,16098.0,198.9,68,1,United Kingdom,1
2022-12-01 09:53:00,18074.0,242.0,102,1,United Kingdom,0
2022-12-01 09:56:00,17420.0,130.85,53,1,United Kingdom,1
2022-12-01 09:59:00,16250.0,226.14,108,1,United Kingdom,0
2022-12-01 10:03:00,12431.0,307.25,101,1,Australia,1
2022-12-01 10:19:00,17511.0,163.52,446,1,United Kingdom,1
2022-12-01 10:29:00,13705.0,153.14,102,1,United Kingdom,1
2022-12-01 10:39:00,13408.0,68.28,56,1,United Kingdom,1
2022-12-01 10:47:00,13767.0,252.20000000000002,132,1,United Kingdom,1
2022-12-01 10:51:00,17850.0,304.86,100,1,United Kingdom,0
2022-12-01 10:52:00,13448.0,286.46000000000004,126,1,United Kingdom,1
2022-12-01 10:52:00,17850.0,22.200000000000003,12,1,United Kingdom,0
2022-12-01 10:53:00,13448.0,17.4,12,1,United Kingdom,1
2022-12-01 11:21:00,15862.0,354.23,124,1,United Kingdom,1
2022-12-01 11:27:00,12791.0,15.0,1,1,Netherlands,0
2022-12-01 11:29:00,16218.0,471.3,438,1,United Kingdom,1
